agency,agencyDetail,description,date,weekday,hour,zipcode,lat,lng,borough,tempMax,tempMin
TLC,Taxi and Limousine Commission,Driver Complaint,12312013,1,23,10034,40.86411279974097,-73.92125039518714,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,11372,40.75497515763288,-73.88335406763777,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11238,40.677250966199416,-73.95784774505333,BROOKLYN,32.0,21.2
DSNY,BCC - Brooklyn North,15 Street Cond/Dump-Out/Drop-Off,12312013,1,23,11213,40.67127217289821,-73.9434787905337,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11106,40.76181566355917,-73.92332063763043,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,23,11109,40.748057095937476,-73.9565181205833,QUEENS,32.0,21.2
DOB,Department of Buildings,Elevator - Defective/Not Working,12312013,1,23,11216,40.67855504253456,-73.95165302778615,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,"Air: Odor/Fumes, Vehicle Idling (AD3)",12312013,1,23,11217,40.68324007370153,-73.97740043995022,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,10024,40.78536042083817,-73.97298193186121,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,23,11692,40.588824165589685,-73.80212281539637,QUEENS,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,22,11226,40.64481991716365,-73.95399450313033,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,22,11206,40.7041848942959,-73.94976618033195,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Talking,12312013,1,22,11222,40.721472901442674,-73.94697889404209,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,22,11218,40.64088700791123,-73.98825338187162,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,10466,40.893362198140096,-73.85968788200337,BRONX,32.0,21.2
DSNY,BCC - Staten Island,15I Street Condition Ice-Non Storm,12312013,1,22,10309,40.51633663030617,-74.23282254781554,STATEN ISLAND,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,22,10014,40.7326781795197,-74.00330152188506,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11419,40.686348350496814,-73.83070082090569,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11229,40.605672438205644,-73.94485962679255,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,22,11375,40.71954389017692,-73.84250686995416,QUEENS,32.0,21.2
NYPD,New York City Police Department,Posted Parking Sign Violation,12312013,1,22,10310,40.62475957635075,-74.12275135736252,STATEN ISLAND,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,10459,40.82679722031363,-73.89247466678908,BRONX,32.0,21.2
DSNY,BCC - Brooklyn South,E10 Obstruction (Street/Sidewalk),12312013,1,22,11215,40.6750759663189,-73.98800221308925,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,10463,40.8736759851494,-73.90400219947198,BRONX,32.0,21.2
NYPD,New York City Police Department,Double Parked Blocking Vehicle,12312013,1,22,10027,40.81010795620323,-73.94508762577884,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Blocked Hydrant,12312013,1,22,11214,40.599018191422665,-73.99087147106424,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Blocked Sidewalk,12312013,1,22,11417,40.678712406112815,-73.84843668369057,QUEENS,32.0,21.2
DEP,Department of Environmental Protection,"Noise, Barking Dog (NR5)",12312013,1,22,10028,40.77608878311893,-73.95553579369975,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11421,40.69653238919367,-73.8555437999469,QUEENS,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,22,10473,40.81716961027333,-73.85126449856563,BRONX,32.0,21.2
TLC,Taxi and Limousine Commission,Driver Complaint,12312013,1,22,11418,40.69821859009959,-73.83384427663972,QUEENS,32.0,21.2
NYPD,New York City Police Department,Posted Parking Sign Violation,12312013,1,22,11208,40.67518473792923,-73.87535327593693,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Controller,12312013,1,22,11694,40.57597146088786,-73.84799666572027,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,22,10003,40.72552200825837,-73.98785603347999,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,22,11692,40.58886785279273,-73.8019894689454,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11226,40.64586951538222,-73.95002990005571,BROOKLYN,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,22,11212,40.657332045032966,-73.91727043576724,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,22,10456,40.83578867655543,-73.91159167136935,BRONX,32.0,21.2
DOB,Department of Buildings,Illegal Conversion Of Residential Building/Space,12312013,1,22,11102,40.77290318532224,-73.9300051655472,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11236,40.639143192913224,-73.90096344286277,BROOKLYN,32.0,21.2
TLC,Taxi and Limousine Commission,Driver Complaint,12312013,1,22,10005,40.70638029595102,-74.00950391062128,MANHATTAN,32.0,21.2
DHS,Operations Unit - Department of Homeless Services,No Status Call,12312013,1,22,11231,40.67777465813491,-73.99671201189585,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Posted Parking Sign Violation,12312013,1,22,11236,40.63580692663068,-73.89040083816911,BROOKLYN,32.0,21.2
DOB,Department of Buildings,Zoning - Non-Conforming/Illegal Vehicle Storage,12312013,1,22,10306,40.572246923363366,-74.09911375042198,STATEN ISLAND,32.0,21.2
DCA,Department of Consumer Affairs,Mandatory Tip,12312013,1,22,10028,40.77975176947132,-73.95963157378294,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,22,11104,40.74066690363886,-73.92680928578147,QUEENS,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,22,10314,40.62023723801869,-74.13640237940623,STATEN ISLAND,32.0,21.2
DOB,Department of Buildings,Boiler - Defective/Inoperative/No Permit,12312013,1,22,10468,40.87523924205772,-73.88746416007845,BRONX,32.0,21.2
TLC,Taxi and Limousine Commission,Driver Complaint,12312013,1,22,10011,40.748400014794406,-74.00583586969633,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,22,10466,40.90083595022644,-73.84671835790932,BRONX,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11368,40.75360322867131,-73.86145488620241,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,22,10002,40.72250863023186,-73.99204869519959,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Double Parked Blocking Vehicle,12312013,1,22,10031,40.82439448104242,-73.94563226812463,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11226,40.64056982989299,-73.9581447630744,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Blocked Sidewalk,12312013,1,22,11368,40.740878516703994,-73.85257875863736,QUEENS,32.0,21.2
DOT,Department of Transportation,Controller,12312013,1,22,11433,40.688996360402804,-73.7858046774694,QUEENS,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,22,10459,40.82498187070285,-73.89131052742346,BRONX,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,22,10463,40.87215762457486,-73.90334993329371,BRONX,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,22,11369,40.76338277268427,-73.88111565245332,QUEENS,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,21,10306,40.57461866874788,-74.13167282379882,STATEN ISLAND,32.0,21.2
DEP,Department of Environmental Protection,Leak (Use Comments) (WA2),12312013,1,21,10010,40.74059086068517,-73.98939057145745,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Double Parked Blocking Traffic,12312013,1,21,11426,40.72621314021521,-73.72639668850155,QUEENS,32.0,21.2
DOT,Department of Transportation,Ped Multiple Lamps,12312013,1,21,11203,40.64975191748432,-73.93599043812758,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Double Parked Blocking Traffic,12312013,1,21,11238,40.677250966199416,-73.95784774505333,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Street Light Cycling,12312013,1,21,10459,40.830136980901635,-73.89187665421247,BRONX,32.0,21.2
DSNY,Manhattan 03,15I Street Condition Ice-Non Storm,12312013,1,21,10002,40.722241846649354,-73.98628730097782,MANHATTAN,32.0,21.2
DEP,Department of Environmental Protection,"Noise, Barking Dog (NR5)",12312013,1,21,11235,40.59126289598016,-73.95963030241755,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,21,11231,40.684779305187035,-74.00371740331721,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Street Light Out,12312013,1,21,10036,40.760045803889184,-73.99146666165431,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,21,11238,40.677250966199416,-73.95784774505333,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11221,40.69702274252065,-73.93172208631854,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,With License Plate,12312013,1,21,11235,40.58899141096708,-73.9377516950649,BROOKLYN,32.0,21.2
DPR,Department of Parks and Recreation,Trees and Sidewalks Program,12312013,1,21,11223,40.605139740133914,-73.97624204035847,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,10472,40.82950481395846,-73.88255491756378,BRONX,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11234,40.619173925961974,-73.93413226810901,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11419,40.68885383301168,-73.8160691055305,QUEENS,32.0,21.2
DOT,Department of Transportation,Street Light Out,12312013,1,21,11220,40.641534902822315,-74.01044594373656,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Street Light Out,12312013,1,21,11412,40.70051759332247,-73.7614022003781,QUEENS,32.0,21.2
DSNY,BCC - Queens East,15 Street Cond/Dump-Out/Drop-Off,12312013,1,21,11355,40.748225107112404,-73.81220227905806,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11237,40.70244968825094,-73.92810272923245,BROOKLYN,32.0,21.2
DCA,Department of Consumer Affairs,Receipt Incomplete/Not Given,12312013,1,21,10028,40.77975176947132,-73.95963157378294,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,21,11209,40.61385401324472,-74.02584650212223,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Posted Parking Sign Violation,12312013,1,21,10468,40.868254694155546,-73.90671809457821,BRONX,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,21,11355,40.75192240115581,-73.83370310734584,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11432,40.71033820143314,-73.78498583733094,QUEENS,32.0,21.2
NYPD,New York City Police Department,Posted Parking Sign Violation,12312013,1,21,10468,40.868254694155546,-73.90671809457821,BRONX,32.0,21.2
DOT,Department of Transportation,Defective Hardware,12312013,1,21,10304,40.60891318567534,-74.09442496684152,STATEN ISLAND,32.0,21.2
NYPD,New York City Police Department,Banging/Pounding,12312013,1,21,11355,40.75192240115581,-73.83370310734584,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,10465,40.8351782272945,-73.82074195504055,BRONX,32.0,21.2
DSNY,Manhattan 03,15I Street Condition Ice-Non Storm,12312013,1,21,10002,40.722241846649354,-73.98628730097782,MANHATTAN,32.0,21.2
TLC,Taxi and Limousine Commission,Driver Complaint,12312013,1,21,10013,40.720826248502526,-74.00524181226142,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11226,40.65530970635382,-73.95210235817925,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,21,11421,40.69398005466692,-73.84935760208002,QUEENS,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,21,11104,40.74665343520495,-73.91895317965414,QUEENS,32.0,21.2
DEP,Department of Environmental Protection,"Noise, Barking Dog (NR5)",12312013,1,21,10002,40.72041154344543,-73.99082237616469,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,21,11427,40.72782319574274,-73.74134873999769,QUEENS,32.0,21.2
NYPD,New York City Police Department,With License Plate,12312013,1,21,11233,40.67719881398581,-73.91361893915204,BROOKLYN,32.0,21.2
DOHMH,Department of Health and Mental Hygiene,Inadequate or No Heat,12312013,1,21,10018,40.751306189113656,-73.98765643467794,MANHATTAN,32.0,21.2
TLC,Taxi and Limousine Commission,Driver Complaint,12312013,1,21,10065,40.76148860924205,-73.96060645448063,MANHATTAN,32.0,21.2
DEP,Department of Environmental Protection,Cloudy Or Milky Water (QB1),12312013,1,21,11217,40.68520951599237,-73.98661581940942,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,Lead Kit Request (Residential) (L10),12312013,1,21,10001,40.75009086599622,-73.99623925135072,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11214,40.601159059564175,-74.01001469545801,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Bus Stop,12312013,1,20,11203,40.64231869811469,-73.92625414953275,BROOKLYN,32.0,21.2
DCA,Department of Consumer Affairs,Non-Delivery Goods/Services,12312013,1,20,10475,40.86831999695185,-73.83315893248766,BRONX,32.0,21.2
NYPD,New York City Police Department,Blocked Hydrant,12312013,1,20,10465,40.827068354472864,-73.82663187774531,BRONX,32.0,21.2
NYPD,New York City Police Department,Double Parked Blocking Vehicle,12312013,1,20,10025,40.7996081641981,-73.96261375496412,MANHATTAN,32.0,21.2
DOB,Department of Buildings,Illegal Conversion Of Residential Building/Space,12312013,1,20,11232,40.645748562463375,-73.99629918534333,BROOKLYN,32.0,21.2
DOB,Department of Buildings,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,12312013,1,20,11201,40.68993940244374,-73.9944937786994,BROOKLYN,32.0,21.2
DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",E15 Illegal Postering,12312013,1,20,11203,40.64231869811469,-73.92625414953275,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,10463,40.878823102534426,-73.8985416074548,BRONX,32.0,21.2
DOT,Department of Transportation,Street Light Out,12312013,1,20,10011,40.74318508008976,-73.99631903453621,MANHATTAN,32.0,21.2
DEP,Department of Environmental Protection,Hydrant Defective (WC2),12312013,1,20,10304,40.60872585877757,-74.08837774444845,STATEN ISLAND,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11354,40.76652278458999,-73.82696998805875,QUEENS,32.0,21.2
DOB,Department of Buildings,Illegal Conversion Of Residential Building/Space,12312013,1,20,11377,40.75345689457688,-73.89733212546626,QUEENS,32.0,21.2
DSNY,A - Manhattan,E11 Litter Surveillance,12312013,1,20,10028,40.7791571072768,-73.95478632170517,MANHATTAN,32.0,21.2
DEP,Department of Environmental Protection,Noise: Construction Equipment (NC1),12312013,1,20,10033,40.84931737055541,-73.93666588982732,MANHATTAN,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11203,40.65285586836308,-73.94590540479334,BROOKLYN,32.0,21.2
DOHMH,Department of Health and Mental Hygiene,3 or More,12312013,1,20,11220,40.63748377746504,-74.0082438317675,BROOKLYN,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11203,40.64219650631592,-73.92834781875123,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Pothole,12312013,1,20,11370,40.75988281094238,-73.886142988659,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11355,40.740708259030164,-73.81284054803106,QUEENS,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11203,40.64225356150356,-73.92741449446983,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11429,40.70273998278179,-73.74810747892761,QUEENS,32.0,21.2
DSNY,A - Queens,E3A Dirty Area/Alleyway,12312013,1,20,11354,40.77476188318341,-73.84181303871377,QUEENS,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11203,40.642316075642285,-73.92644512921412,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11214,40.607631725211895,-74.00015126141261,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Pothole,12312013,1,20,11233,40.67620400511047,-73.90851531109448,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,"Noise, Barking Dog (NR5)",12312013,1,20,10304,40.61188469903232,-74.0889221804052,STATEN ISLAND,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11203,40.64238401042566,-73.92538206925892,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,10462,40.83818990751612,-73.85010440789736,BRONX,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11212,40.657175514857215,-73.92106578762859,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,"Noise, Barking Dog (NR5)",12312013,1,20,10028,40.77321097599352,-73.9460170445798,MANHATTAN,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11212,40.661909049390275,-73.92756611749921,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,20,11374,40.72497242145245,-73.86353117239892,QUEENS,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,20,11229,40.61293626158975,-73.94719116198115,BROOKLYN,32.0,21.2
DOB,Department of Buildings,Illegal Hotel Rooms In Residential Building,12312013,1,20,10025,40.800252341967564,-73.96906421752142,MANHATTAN,32.0,21.2
DEP,Department of Environmental Protection,Noise: Alarms (NR3),12312013,1,20,11217,40.687064517586414,-73.98309262693428,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,Sewer Backup (Use Comments) (SA),12312013,1,20,11436,40.684445244004806,-73.79778995779172,QUEENS,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11212,40.66236972279966,-73.92685554676966,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,Hydrant Leaking (WC1),12312013,1,20,11235,40.57997985357553,-73.93706889938615,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Blocked Hydrant,12312013,1,20,10461,40.84121531794312,-73.83079461088258,BRONX,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11423,40.71789400983751,-73.76504482896428,QUEENS,32.0,21.2
DOT,Department of Transportation,Pedestrian Signal,12312013,1,20,11206,40.70222081094849,-73.94627649785156,BROOKLYN,32.0,21.2
DOT,Department of Transportation,St Name - Attached to Pole,12312013,1,20,11230,40.611440411539604,-73.9537041614975,BROOKLYN,32.0,21.2
TLC,Taxi and Limousine Commission,Insurance Information Requested,12312013,1,20,10025,40.8048862271462,-73.96247352925953,MANHATTAN,32.0,21.2
DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",E15 Illegal Postering,12312013,1,20,11203,40.64425212271934,-73.93250758444223,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Out of Order,12312013,1,20,10022,40.76358878031531,-73.97140962947385,MANHATTAN,32.0,21.2
DSNY,A - Bronx,E3A Dirty Area/Alleyway,12312013,1,20,10472,40.82938548902003,-73.88128318737999,BRONX,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11103,40.7703774372846,-73.91302513530675,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,20,11433,40.70753055918456,-73.78659995072763,QUEENS,32.0,21.2
DSNY,"A - Illegal Posting Staten Island, Queens and Brooklyn",E15 Illegal Postering,12312013,1,20,11203,40.6557599873394,-73.93080203311214,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,Dirty Water (WE),12312013,1,20,11411,40.69437771472835,-73.74362054941189,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11436,40.68514866069167,-73.7951124261037,QUEENS,32.0,21.2
NYPD,New York City Police Department,Partial Access,12312013,1,20,11367,40.7307718671509,-73.81602195768998,QUEENS,32.0,21.2
DOT,Department of Transportation,Street Light Out,12312013,1,20,11226,40.64892417228813,-73.94937174034034,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,20,10468,40.86281833648662,-73.90782476617267,BRONX,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,20,11432,40.71184860073022,-73.78986498358812,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11103,40.7703774372846,-73.91302513530675,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11225,40.66767971766331,-73.95726622685387,BROOKLYN,32.0,21.2
DEP,Department of Environmental Protection,Catch Basin Clogged/Flooding (Use Comments) (SC),12312013,1,20,10304,40.599610212094106,-74.0886033467015,STATEN ISLAND,32.0,21.2
NYPD,New York City Police Department,Double Parked Blocking Vehicle,12312013,1,20,10026,40.80441983687725,-73.95536877183133,MANHATTAN,32.0,21.2
DOB,Department of Buildings,Sidewalk Shed/Pipe Scafford - Inadequate Defective/None,12312013,1,20,11211,40.707203547845374,-73.96265115268865,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,20,11355,40.75750133899753,-73.81325538834699,QUEENS,32.0,21.2
NYPD,New York City Police Department,Blocked Sidewalk,12312013,1,20,11417,40.678712406112815,-73.84843668369057,QUEENS,32.0,21.2
NYPD,New York City Police Department,Loud Music/Party,12312013,1,19,10033,40.84960285940338,-73.93673790928068,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,19,11206,40.7041848942959,-73.94976618033195,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,Blocked Hydrant,12312013,1,19,11385,40.69987984136648,-73.89202299404575,QUEENS,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,19,11377,40.74925749152559,-73.90376283263623,QUEENS,32.0,21.2
DOT,Department of Transportation,"No Parking, Standing, Stopping",12312013,1,19,10467,40.86812648956945,-73.86342540063484,BRONX,32.0,21.2
NYPD,New York City Police Department,Detached Trailer,12312013,1,19,10314,40.598230117674944,-74.18328154638482,STATEN ISLAND,32.0,21.2
DEP,Department of Environmental Protection,"Noise, Barking Dog (NR5)",12312013,1,19,11222,40.72543884466189,-73.95274826552695,BROOKLYN,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,19,11369,40.759213263499404,-73.86126273414926,QUEENS,32.0,21.2
DOT,Department of Transportation,Timer Defect - Fast/Fail,12312013,1,19,10016,40.74194788495796,-73.97792183455579,MANHATTAN,32.0,21.2
NYPD,New York City Police Department,Blocked Sidewalk,12312013,1,19,11417,40.67969531354821,-73.8486471660199,QUEENS,32.0,21.2
DSNY,Manhattan 03,15I Street Condition Ice-Non Storm,12312013,1,19,10009,40.72231595081954,-73.98625120913375,MANHATTAN,32.0,21.2
DPR,Department of Parks and Recreation,Branch or Limb Has Fallen Down,12312013,1,19,11366,40.72418673259975,-73.79775235246306,QUEENS,32.0,21.2
NYPD,New York City Police Department,Commercial Overnight Parking,12312013,1,19,10465,40.830760240467626,-73.82862777635002,BRONX,32.0,21.2
NYPD,New York City Police Department,No Access,12312013,1,19,11230,40.61448717781376,-73.96124428570972,BROOKLYN,32.0,21.2
DOT,Department of Transportation,Street Light Out,12312013,1,19,11427,40.73254017064218,-73.75327366573282,QUEENS,32.0,21.2
DEP,Department of Environmental Protection,Leak (Use Comments) (WA2),12312013,1,19,11367,40.72536839175273,-73.82365300941562,QUEENS,32.0,21.2
DOT,Department of Transportation,No Receipt,12312013,1,19,10018,40.75503396723346,-73.99242741250319,MANHATTAN,32.0,21.2
